S.No.,College Name,Faculty Directory Link,Exists,
107,Mumbai University,https://www.mu.ac.in/faculty,FALSE,0
108,NIT Allahabad,https://mnnit.ac.in/index.php/academics/faculty,FALSE,0
109,NIT Calicut,https://www.nitc.ac.in/app/webroot/img/upload/Faculty%20Directory.pdf,FALSE,0
110,NIT Durgapur,https://nitdgp.ac.in/faculty,TRUE,1
111,NIT Jamshedpur,https://www.nitjsr.ac.in/faculty,TRUE,1
112,NIT Kurukshetra,https://www.nitkkr.ac.in/faculty_list.php,FALSE,0
113,NIT Patna,https://www.nitp.ac.in/Academic/Faculty&Staff/AllFaculty,TRUE,1
114,NIT Rourkela,https://www.nitrkl.ac.in/Faculty,FALSE,0
115,NIT Surathkal,https://www.nitk.ac.in/faculty,FALSE,0
116,NIT Trichy,https://www.nitt.edu/home/academics/departments/,TRUE,1
117,NIT Warangal,https://nitw.ac.in/api/static/files/Full_directory_2023-5-30-11-17-52.pdf,TRUE,1
118,National Institute of Technology,https://www.nitc.ac.in/faculty,FALSE,0
119,National Law School of India University,https://www.nls.ac.in/about/people/faculty/,FALSE,0
120,National Law University Delhi,https://nludelhi.ac.in/faculty-type/core-faculty/,TRUE,1
121,OP Jindal Global University,https://jgu.edu.in/faculties,TRUE,1
122,Osmania University,https://www.osmania.ac.in/faculties.php,FALSE,0
123,PES University,https://pes.edu,TRUE,1
124,Panjab University,https://cdoe.puchd.ac.in/show-faculty.php,TRUE,1
125,Presidency University Kolkata,https://www.presiuniv.ac.in/faculty,FALSE,0
126,Pune University,http://www.unipune.ac.in/snc/interdisciplinary_school_science/idss_webfiles/faculty.htm,TRUE,1
127,Rajkiya Engineering College,https://www.recabn.ac.in/?page_id=3892,TRUE,1
128,SASTRA University,https://www.sastra.edu/staffprofiles/schools/soc.php,TRUE,1
129,SCMC Symbiosis,https://www.scmc.edu.in/faculty-profile,TRUE,1
130,SCRI Symbiosis,https://scri.siu.edu.in/faculty,TRUE,1
131,SIBM Pune,https://sibm.edu/mobile/facultyprofile,TRUE,1
132,SIG Symbiosis,https://sig.ac.in/faculty-profile,TRUE,1
133,SIHS Symbiosis,https://www.sihs.edu.in/faculty,TRUE,1
134,SIIB Symbiosis,https://siib.ac.in/faculty/,TRUE,1
135,SIMC Symbiosis,https://www.simc.edu/people-at-simc/faculty-profiles,TRUE,1
136,SRM Online,https://www.srmonline.in/faculty-details,TRUE,1
137,SRM University AP,https://srmap.edu.in/faculty-4/,TRUE,1
138,SSBS Symbiosis,https://www.ssbs.edu.in/faculty,TRUE,1
139,SSN College of Engineering,https://www.ssn.edu.in/staff/,FALSE,0
140,Sai University,https://saiuniversity.edu.in/faculty/,TRUE,1
141,Shiv Nadar University,https://snu.edu.in/faculty/,TRUE,1
142,Shiv Nadar University Chennai,https://law.snuchennai.edu.in/faculty/,TRUE,1
143,Sikkim Manipal Institute of Technology,https://smu.edu.in/smit/faculty.php,TRUE,1
144,St. Stephen's College,https://www.ststephens.edu/faculty/,TRUE,1
145,St. Xavier's College Mumbai,https://xaviers.edu/main/faculty-profiles,FALSE,0
146,Swarnim Gujarat Sports University,https://sgsu.gujarat.gov.in/faculty-members.htm,TRUE,1
147,Symbiosis International University,https://www.siu.edu.in/faculty,TRUE,1
148,Symbiosis University Indore,https://www.suas.ac.in/about-symbiosis-indore/faculty-profiles/,TRUE,1
149,TISS Skill Education,https://sve.tiss.edu/TISS/index.php?p=faculty,TRUE,1
150,Tata Institute of Social Sciences (TISS),https://tiss.ac.in/faculty/,FALSE,0
151,University of Calcutta,http://www.econcaluniv.ac.in/Faculty.aspx?FT=C,TRUE,1
152,University of Delhi,https://www.cie.du.ac.in/?Faculty-Staff,TRUE,1
153,University of Hyderabad,https://rdc.uohyd.ac.in/expertise,TRUE,1
154,University of Madras,https://www.unom.ac.in/faculty,FALSE,0
155,University of Rajasthan,https://www.uor.edu.in/faculty,FALSE,0
156,VIT Chennai,https://chennai.vit.ac.in/faculty/,FALSE,0
157,Vellore Institute of Technology (VIT),https://vit.ac.in/faculty,TRUE,1
158,XLRI Jamshedpur,https://www.xlri.ac.in/faculty,TRUE,1
,,,,100
